Date,Close_AMZN,Close_GOOGL,Close_META,Close_MSFT,Close_NVDA,High_AMZN,High_GOOGL,High_META,High_MSFT,High_NVDA,Low_AMZN,Low_GOOGL,Low_META,Low_MSFT,Low_NVDA,Open_AMZN,Open_GOOGL,Open_META,Open_MSFT,Open_NVDA,Volume_AMZN,Volume_GOOGL,Volume_META,Volume_MSFT,Volume_NVDA
2024-10-25,187.83,165.081,573.25,427.295,141.53,190.45,165.4,581.29,431.656,144.12,187.53,163.233,571.72,425.713,140.79,187.85,163.483,573.935,425.907,140.92,29362060.0,19851609.0,11337874.0,16932889.840775,205136242.0
2024-10-24,186.38,162.534,567.78,423.882,140.4,187.11,163.143,568.8799,425.127,141.34,183.86,160.826,561.52,421.556,138.45,185.25,162.644,567.125,424.475,140.81,21647395.0,22438213.0,7184651.0,13608816.534517,172366763.0
2024-10-23,184.71,162.594,563.69,423.752,139.55,189.16,165.63,585.0,430.219,142.42,183.69,161.74,562.5,421.686,137.451,188.85,164.571,579.97,429.994,142.02,31937089.0,18301468.0,14248419.0,19693719.989216,285949739.0
2024-10-22,189.7,164.951,582.01,426.656,143.58,191.5201,165.58,583.53,429.719,144.41,186.975,162.793,572.12,417.205,141.77,188.35,162.793,574.29,417.654,142.9,29650593.0,16587109.0,8544463.0,25533203.182255,226327182.0
2024-10-21,189.07,163.882,575.16,417.943,143.7,189.46,164.312,577.2399,418.123,143.7,186.4,162.434,569.11,412.924,137.99,188.05,162.763,576.03,415.289,138.12,24639393.0,20970461.0,8171879.0,14234550.526608,264572742.0
2024-10-18,188.99,163.233,576.47,417.325,137.99,190.74,164.521,583.9675,418.812,138.89,186.28,162.893,575.25,415.429,137.271,187.15,163.003,581.1,416.307,138.655,37417670.0,19780304.0,7694274.0,17179635.750605,176102317.0
2024-10-17,187.53,162.743,576.93,415.888,136.921,188.94,166.18,584.97,421.656,140.88,186.0,162.574,575.2,414.76,136.861,188.22,165.54,583.33,421.516,139.33,25039414.0,21477982.0,8701158.0,14849668.311325,306457035.0
2024-10-16,186.89,164.971,576.79,415.289,135.711,187.78,165.61,582.08,415.528,136.611,185.61,163.553,574.03,409.66,131.571,187.05,164.342,581.395,414.341,133.971,23456812.0,16424832.0,11268384.0,15539975.297098,264897971.0
2024-10-15,187.69,165.271,586.27,417.904,131.591,188.41,167.488,590.61,421.636,138.56,184.58,164.437,580.143,414.43,128.731,187.63,165.595,590.16,421.337,137.861,32178925.0,20270399.0,9564236.0,18938032.39644,377857054.0
2024-10-14,187.54,164.771,590.42,418.303,138.06,189.83,166.036,600.1,423.193,139.59,187.36,163.213,589.96,416.686,136.291,189.78,163.453,594.22,416.935,136.461,22614407.0,19037934.0,8251971.0,16686419.481396,232363677.0
